"","Recipient","DollarAmount","# of Donations","AvgDonation"
"965","CRESENT HARDY FOR CONGRESS",2700,1,2700
"966","Crowley for Congress",2700,1,2700
"967","DAVID TRONE FOR CONGRESS, INC",2700,1,2700
"968","Debbie Wasserman Schultz for Congress",2700,1,2700
"969","Denham for Congress",2700,1,2700
"970","DODSON FOR SENATE-WYOMING FIRST INC",2700,1,2700
"971","Dodson for Senate - Wyoming First",2700,1,2700
"972","Dr. Raul Ruiz for Congress",2700,1,2700
"973","Duffy for Wisconsin",2700,1,2700
"974","ELBERT GUILLORY FOR AMERICA",2700,1,2700
"975","ERIC LYNN FOR CONGRESS",2700,1,2700
"976","FRIENDS FOR GREGORY MEEKS",2700,1,2700
"977","FRIENDS OF CLYDE WILLIAMS",2700,1,2700
"978","FRIENDS OF DENVER RIGGLEMAN, INC.",2700,1,2700
"979","FRIENDS OF DICK DURBIN",2700,1,2700
"980","FRIENDS OF DON BEYER",2700,1,2700
"981","Friends of Joe Heck",2700,1,2700
"982","FRIENDS OF KIP TOM",2700,1,2700
"983","FRIENDS OF SUSAN BROOKS",2700,1,2700
"984","George Holding for Congress Inc.",2700,1,2700
"985","GLENN IVEY FOR CONGRESS",2700,1,2700
"986","Gowan For Arizona",2700,1,2700
"987","Greg for Montana",2700,1,2700
"988","Handel for Congress",2700,1,2700
"989","Hatch Election Committee Inc.",2700,1,2700
"990","HEIDI JOE VICTORY FUND",2700,1,2700
"991","Hurd for Congress",2700,1,2700
"992","JANET GARRETT FOR CONGRESS COMMITTEE",2700,1,2700
"993","JASON ALLEN FOR CONGRESS",2700,1,2700
"994","JEB 2016 INC",2700,1,2700
"995","JEFF DOVE FOR CONGRESS",2700,1,2700
"996","JILL STEIN FOR PRESIDENT",2700,1,2700
"997","Joe Kennedy for Congress",2700,1,2700
"998","JOHNSON VICTORY COMMITTEE",2700,1,2700
"999","Kaine for Virginia",2700,1,2700
"1000","Kasich For America",2700,1,2700
"1001","Kasich for America, Inc.",2700,1,2700
"1002","Katie McGinty for Senate",2700,1,2700
"1003","KATIE MCGINTY FOR SENATE",2700,1,2700
"1004","Kay Granger Campaign Fund",2700,1,2700
"1005","KEVIN ROBERTS FOR CONGRESS",2700,1,2700
"1006","KIND FOR CONGRESS COMMITTEE",2700,1,2700
"1007","KING FOR CONGRESS",2700,1,2700
"1008","Kyrsten Sinema for Congress",2700,1,2700
"1009","Lance Gooden for Congress Committee",2700,1,2700
"1010","Lea Marquez Peterson for Congress",2700,1,2700
"1011","LEA MARQUEZ PETERSON FOR CONGRESS",2700,1,2700
"1012","Leahy for US Senator Committee",2700,1,2700
"1013","Lisa Blunt Rochester for Congress",2700,1,2700
"1014","LIZ FOR INDIANA",2700,1,2700
"1015","Loebsack for Congress",2700,1,2700
"1016","Lovas For Congress",2700,1,2700
"1017","LUANN BENNETT FOR CONGRESS",2700,1,2700
"1018","MARCIA FUDGE FOR CONGRESS",2700,1,2700
"1019","Marco Rubio for President",2700,1,2700
"1020","MARGARET FOR CONGRESS",2700,1,2700
"1021","MCCOLLUM FOR CONGRESS",2700,1,2700
"1022","McHenry for Congress",2700,1,2700
"1023","MI14 PAC",2700,1,2700
"1024","MICA FOR CONGRESS",2700,1,2700
"1025","MONTANA NORTH DAKOTA VICTORY FUND",2700,1,2700
"1026","PATRICK MOONEY FOR CONGRESS",2700,1,2700
"1027","Paul Brown For Congress",2700,1,2700
"1028","PERRY FOR PRESIDENT INC",2700,1,2700
"1029","PIONEER POLITICAL ACTION COMMITTEE",2700,1,2700
"1030","POLIQUIN FOR CONGRESS",2700,1,2700
"1031","PRICE4WNC",2700,1,2700
"1032","RANDY HULTGREN FOR CONGRESS",2700,1,2700
"1033","RICK FOR CONGRESS",2700,1,2700
"1034","Rick Scott for Florida",2700,1,2700
"1035","Romney for Utah Inc.",2700,1,2700
"1036","Ron Johnson for Senate, Inc.",2700,1,2700
"1037","Rosen for Nevada",2700,1,2700
"1038","ROTHFUS VICTORY COMMITTEE",2700,1,2700
"1039","Royce Campaign Committee",2700,1,2700
"1040","RUSS FULCHER FOR IDAHO",2700,1,2700
"1041","Sean Barney for Congress",2700,1,2700
"1042","Serve America PAC",2700,1,2700
"1043","Sinema for Arizona",2700,1,2700
"1044","Stabenow for US Senate",2700,1,2700
"1045","Steve Knight for Congress",2700,1,2700
"1046","Suozzi for Congress",2700,2,1350
"1047","Tammy Baldwin for Senate",2700,1,2700
"1048","TAMMY BALDWIN FOR SENATE",2700,1,2700
"1049","Tammy for Illinois",2700,1,2700
"1050","TED LIEU FOR CONGRESS",2700,1,2700
"1051","TIBERI FOR CONGRESS",2700,1,2700
"1052","TOM ATKINSON FOR CONGRESS",2700,1,2700
"1053","TOM CAMPBELL FOR NORTH DAKOTA",2700,1,2700
"1054","TOM MALINOWSKI FOR CONGRESS",2700,1,2700
"1055","Tony Cardenas for Congress",2700,1,2700
"1056","TROY DOWNING FOR US SENATE",2700,1,2700
"1057","Upton for All of Us",2700,1,2700
"1058","VALADAO FOR CONGRESS",2700,1,2700
"1059","WILL JAWANDO FOR CONGRESS",2700,1,2700
"1060","Win The Era PAC",2700,1,2700
"1061","Wyden For Senate",2700,1,2700
"1062","Young Kim for Congress",2700,1,2700
"1063","YOUNG KIM FOR CONGRESS",2700,1,2700
"1064","ZINKE FOR CONGRESS",2700,1,2700
"1065","Dan Lipinski for Congress",2600,1,2600
"1066","DAS FOR CONGRESS",2600,1,2600
"1067","FRIENDS FOR HARRY REID",2600,1,2600
"1068","2018 REPUBLICAN CHALLENGERS FUND",2500,1,2500
"1069","AL LAWSON FOR CONGRESS",2500,2,1250
"1070","ATHENA PAC",2500,1,2500
"1071","BLACK AMERICA'S POLITICAL ACTION COMMITTEE",2500,1,2500
"1072","BOB YOUNG FOR SENATE",2500,1,2500
"1073","BOST Pac",2500,1,2500
"1074","Castor for Congress",2500,1,2500
"1075","DEVIN NUNES CAMPAIGN COMMITTEE",2500,3,833.333333333333
"1076","Friends for Gregory Meeks",2500,1,2500
"1077","GARRET GRAVES FOR CONGRESS",2500,1,2500
"1078","GENERATION GO LEADERSHIP PAC",2500,1,2500
"1079","HECK YES! VICTORY FUND",2500,1,2500
"1080","JAKE AUCHINCLOSS FOR CONGRESS",2500,2,1250
"1081","KUSTOFF FOR CONGRESS",2500,1,2500
"1082","LUCILLE ROYBAL-ALLARD FOR CONGRESS",2500,1,2500
"1083","LUMMIS FOR CONGRESS",2500,1,2500
"1084","MOKAN VICTORY FUND",2500,1,2500
"1085","NEVADA REPUBLICAN CENTRAL COMMITTEE",2500,1,2500
"1086","RAND PAUL FOR US SENATE",2500,1,2500
"1087","READY PAC",2500,1,2500
"1088","RECLAIM AMERICA PAC",2500,1,2500
"1089","STAPLETON VICTORY FUND",2500,1,2500
"1090","TEAM RICK SCOTT",2500,1,2500
"1091","UTAH STATE DEMOCRATIC COMMITTEE",2500,1,2500
"1092","WALDEN FOR CONGRESS",2500,2,1250
"1093","ALEX T FOR CONGRESS",2400,1,2400
"1094","REDWINGMCPAC",2400,1,2400
"1095","REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA",2300,1,2300
"1096","MURRAY VICTORY FUND",2250,2,1125
"1097","Taylor for Congress 2020",2200,1,2200
"1098","BEN CARDIN FOR SENATE, INC.",2000,1,2000
"1099","BLUE DOG POLITICAL ACTION COMMITTEE",2000,1,2000
"1100","BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC)",2000,2,1000
"1101","Caruso-Cabrera for New York",2000,1,2000
"1102","COUNTRY FIRST POLITICAL ACTION COMMITTEE, INC. (COUNTRY FIRST PAC)",2000,1,2000
"1103","CRAPO VICTORY COMMITTEE",2000,1,2000
"1104","CROWLEY FOR CONGRESS",2000,1,2000
"1105","DEBBIE WASSERMAN SCHULTZ FOR CONGRESS",2000,2,1000
"1106","FRIENDS OF JOHN DELANEY",2000,2,1000
"1107","FRIENDS OF RD",2000,2,1000
"1108","GARAMENDI FOR CONGRESS",2000,1,2000
"1109","GRAHAM FOR CONGRESS",2000,1,2000
"1110","Heck Yes! Victory Fund",2000,1,2000
"1111","ISAKSON VICTORY COMMITTEE",2000,1,2000
"1112","JEFF FORTENBERRY FOR UNITED STATES CONGRESS",2000,1,2000
"1113","JIM RENACCI FOR CONGRESS",2000,1,2000
"1114","JOSH HARDER FOR CONGRESS",2000,1,2000
"1115","JUSTIN FAREED FOR CONGRESS",2000,2,1000
"1116","KAMALA HARRIS FOR THE PEOPLE",2000,1,2000
"1117","LEE, SHEILA JACKSON",2000,1,2000
"1118","Marsha for Senate",2000,1,2000
"1119","MARTIN HEINRICH FOR SENATE",2000,1,2000
"1120","MOULTON FOR CONGRESS",2000,2,1000
"1121","ROB BISHOP FOR CONGRESS",2000,1,2000
"1122","SANFORD FOR CONGRESS",2000,2,1000
"1123","Schneider for Congress",2000,1,2000
"1124","SHELLI YODER FOR INDIANA",2000,1,2000
"1125","STANTON-KING FOR CONGRESS, INC.",2000,1,2000
"1126","STEVE KNIGHT FOR CONGRESS",2000,1,2000
"1127","TED YOHO FOR CONGRESS",2000,2,1000
"1128","THE NIKI TSONGAS COMMITTEE",2000,1,2000
"1129","UNIVERSITY PUBLIC ISSUES COMMITTEE AKA UPIC",2000,2,1000
"1130","Wenstrup for Congress",2000,1,2000
"1131","VAL DEMINGS FOR CONGRESS",1800,1,1800
"1132","BETSY DIRKSEN LONDRIGAN FOR CONGRESS",1500,2,750
"1133","BLAKE MOORE FOR CONGRESS",1500,1,1500
"1134","CONTINUING AMERICA'S STRENGTH AND SECURITY PAC",1500,1,1500
"1135","Friends of Mark Warner",1500,2,750
"1136","HASTINGS FOR CONGRESS",1500,1,1500
"1137","HAWAII PAC",1500,1,1500
"1138","KEN HARBAUGH FOR CONGRESS",1500,1,1500
"1139","MARCO RUBIO FOR SENATE",1500,1,1500
"1140","MCCAFFITY FOR CONGRESS",1500,1,1500
"1141","MORAN RUBIO VICTORY COMMITTEE",1500,1,1500
"1142","NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC)",1500,1,1500
"1143","Peters for Michigan",1500,1,1500
"1144","PRICE FOR CONGRESS",1500,1,1500
"1145","Romanoff for Colorado",1500,1,1500
"1146","De Blasio 2020",1490,1,1490
"1147","MARK RIDLEY-THOMAS FOR SUPERVISOR 2016",1475,1,1475
"1148","Jaime Harrison for US Senate",1400,1,1400
"1149","Lahood for Congress",1250,1,1250
"1150","Loan Syndications and Trading Association PAC",1250,1,1250
"1151","Lou Barletta for Senate",1250,1,1250
"1152","NCTA - THE INTERNET AND TELEVISION ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC)",1250,1,1250
"1153","F.N.B. CORPORATION PAC",1150,1,1150
"1154","PROGRESS AND GROWTH PAC",1100,1,1100
"1155","FRIENDS OF DAVID JOLLY",1050,1,1050
"1156","ADAM SCHLEIFER FOR CONGRESS",1000,1,1000
"1157","Alaskans for Dan Sullivan",1000,1,1000
"1158","ANTHONY BROWN FOR CONGRESS",1000,1,1000
"1159","ARBALLO FOR CONGRESS",1000,1,1000
"1160","ARIZONA NEVADA VICTORY FUND",1000,1,1000
"1161","BENNET FOR AMERICA",1000,1,1000
"1162","Bill Nelson for US Senate",1000,1,1000
"1163","BISHOP FOR CONGRESS",1000,1,1000
"1164","BLUMENAUER FOR CONGRESS",1000,1,1000
"1165","Brad Wenstrup Victory Fund",1000,1,1000
"1166","Brady for Congress",1000,1,1000
"1167","BUCSHON FOR CONGRESS",1000,1,1000
"1168","BULLOCK FOR PRESIDENT",1000,1,1000
"1169","CITIZENS FOR JOHN RUTHERFORD",1000,1,1000
"1170","COMMITTEE TO RE-ELECT LINDA SANCHEZ",1000,1,1000
"1171","Cory Gardner for Senate",1000,1,1000
"1172","CRUMPACKER FOR CONGRESS",1000,1,1000
"1173","CULBERSON FOR CONGRESS",1000,1,1000
"1174","DAVID GILL FOR CONGRESS",1000,1,1000
"1175","DOGGETT FOR CONGRESS",1000,1,1000
"1176","DR. RAUL RUIZ FOR CONGRESS",1000,1,1000
"1177","FRIENDS FOR THORNTON",1000,1,1000
"1178","FRIENDS OF JIM BRIDENSTINE INC.",1000,1,1000
"1179","FRIENDS OF KERRY W. GIBSON",1000,1,1000
"1180","FRIENDS OF STEWART MILLS",1000,1,1000
"1181","GEORGIA REPUBLICAN PARTY INC.",1000,1,1000
"1182","GLENN GROTHMAN FOR CONGRESS",1000,1,1000
"1183","HERN FOR CONGRESS",1000,1,1000
"1184","HIMES FOR CONGRESS",1000,1,1000
"1185","HOUSE CD6",1000,1,1000
"1186","Huck Pac",1000,1,1000
"1187","HUCK PAC",1000,1,1000
"1188","HUFFMAN FOR CONGRESS 2014",1000,1,1000
"1189","Jeb 2016 Inc",1000,1,1000
"1190","JOE KENNEDY FOR CONGRESS",1000,1,1000
"1191","John James for Senate, Inc.",1000,1,1000
"1192","JOHN LEWIS FOR CONGRESS",1000,1,1000
"1193","JUANA MATIAS FOR CONGRESS",1000,1,1000
"1194","KAMALA HARRIS FOR SENATE",1000,1,1000
"1195","KENNETH SHEETS FOR CONGRESS",1000,1,1000
"1196","KLINE FOR CONGRESS",1000,1,1000
"1197","LANGEVIN FOR CONGRESS",1000,1,1000
"1198","MCKINLEY FOR CONGRESS",1000,1,1000
"1199","McSally For Congress",1000,1,1000
"1200","Mike Bost for Congress Committee",1000,1,1000
"1201","NANCY ROTERING FOR CONGRESS",1000,1,1000
"1202","Nelson for Wisconsin",1000,1,1000
"1203","North Carolina Republican Party",1000,1,1000
"1204","ORENTLICHER FOR CONGRESS",1000,1,1000
"1205","PENSLER FOR SENATE",1000,1,1000
"1206","Perdue For Senate",1000,1,1000
"1207","Pete King for Congress Committee",1000,1,1000
"1208","Rand Paul for President, Inc.",1000,1,1000
"1209","RANDY BRYCE FOR CONGRESS",1000,1,1000
"1210","Remember Mississippi",1000,1,1000
"1211","RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC)",1000,1,1000
"1212","ROBERT ADERHOLT FOR CONGRESS",1000,1,1000
"1213","ROGER FOR CONGRESS VICTORY FUND",1000,1,1000
"1214","RYAN COSTELLO FOR CONGRESS",1000,1,1000
"1215","SCHIFF FOR CONGRESS",1000,1,1000
"1216","Scott Taylor For Senate",1000,1,1000
"1217","SERVE AMERICA PAC",1000,1,1000
"1218","SHEILA JACKSON LEE FOR CONGRESS",1000,1,1000
"1219","Sinema For Arizona",1000,1,1000
"1220","Slocum for Congress",1000,1,1000
"1221","STABENOW FOR US SENATE",1000,1,1000
"1222","TED DEUTCH FOR CONGRESS COMMITTEE",1000,1,1000
"1223","TED HOWZE FOR CONGRESS 2020",1000,1,1000
"1224","The Richard Burr Committee",1000,1,1000
"1225","TIFFANY FOR WISCONSIN, INC.",1000,1,1000
"1226","TITUS FOR CONGRESS",1000,1,1000
"1227","TRITCH FOR CONGRESS",1000,1,1000
"1228","University Public Issuees Committee",1000,1,1000
"1229","VAN ORDEN FOR CONGRESS",1000,1,1000
"1230","VISCLOSKY FOR CONGRESS",1000,1,1000
"1231","VOLUNTEERS FOR SHIMKUS",1000,1,1000
"1232","DIBBLE FOR CONGRESS",600,1,600
"1233","Donovan for Congress",540,2,270
"1234","ALISON FOR VIRGINIA",500,1,500
"1235","AMERICANS FOR PARNELL COMMITTEE",500,1,500
"1236","BONAMICI FOR CONGRESS",500,1,500
"1237","CITIZENS FOR MICHAEL WAGER",500,1,500
"1238","Cole for Congress",500,1,500
"1239","COMMITTEE TO ELECT CHRIS MURPHY",500,1,500
"1240","DELGADO FOR CONGRESS",500,1,500
"1241","DERRICK FOR CONGRESS",500,1,500
"1242","ERIK JONES FOR CONGRESS",500,1,500
"1243","Esmeralda Soria for Congress",500,1,500
"1244","FREE AT LAST PAC",500,1,500
"1245","JON OSSOFF FOR CONGRESS",500,1,500
"1246","JOSELINE PENA-MELNYK FOR CONGRESS",500,1,500
"1247","JR VICTORY FUND",500,1,500
"1248","KELLY MAZESKI FOR CONGRESS",500,1,500
"1249","LYNN AFENDOULIS FOR CONGRESS",500,1,500
"1250","MARIE NEWMAN FOR CONGRESS",500,2,250
"1251","MARK TAKANO FOR CONGRESS",500,1,500
"1252","MIKE HONDA FOR CONGRESS",500,1,500
"1253","MOULTON LEADERSHIP FUND",500,1,500
"1254","ORTIZ JONES VICTORY FUND",500,1,500
"1255","REED COMMITTEE; THE",500,1,500
"1256","RICHARD BEW FOR CONGRESS",500,1,500
"1257","Rufus Gifford for Congress",500,1,500
"1258","Sam Jammal for Congress",500,1,500
"1259","SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC)",500,1,500
"1260","SCOTT COOPER FOR CONGRESS",500,1,500
"1261","SINEMA VICTORY FUND",500,1,500
"1262","Steve Daines for Montana",500,1,500
"1263","Tiberi for Congress",500,1,500
"1264","WESTERN AND SOUTHERN LIFE INSURANCE CO POLITICAL ACTION COMMITTEE (WESTERN-SOUTHERN PAC)",500,1,500
"1265","CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.",400,1,400
"1266","THE LINCOLN PROJECT",400,1,400
"1267","BRENDAN KELLY FOR SOUTHERN ILLINOIS",300,1,300
"1268","BOB ELLIOTT FOR CONGRESS",250,1,250
"1269","GUTHRIE FOR CONGRESS",250,1,250
"1270","Jason Crow for Congress",250,1,250
"1271","MARLA LIVENGOOD FOR CONGRESS 2020",250,1,250
"1272","MCNERNEY FOR CONGRESS",250,1,250
"1273","Friends of Joe Sestak",100,1,100
"1274","FRIENDS OF JOHN MCCAIN INC (SEDONA PAC)",100,1,100
